geo\time,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Austria,6493.1,7321.6,7959.1,7692.6,8249.6,8973.4,9619.6,9858.2,10099.7,10439.2,10749.7,:
Belgium,18915.2,21020.9,23082.8,21157.7,21910.5,24606.6,25846.4,26736.1,27798.4,28216.6,29399.1,:
Bulgaria,790.7,1174.6,1595.6,1585.6,1714.2,2046.8,2109.7,2198.5,2213.5,2410.2,2523.7,:
Croatia,1343.7,1433.6,1610.8,1471.4,1498.3,1687.7,1774.8,1906.8,2122.2,2342.2,2454.9,:
Cyprus,636,755.2,895.8,800.1,886.7,915.3,930.3,907.9,954.9,964.7,1009.8,:
Czech Republic,3595.9,4281,4728,4555.3,5024.9,5668.8,6178,6366.2,6479.8,7226.6,7375.3,:
Denmark,7591.9,8040.7,8609.9,7903.7,8344,8941,9330.3,9892,10136,10560.1,10736.5,:
Estonia,740,988.7,1032.3,866.1,961.7,1191.1,1299.2,1411.5,1393.9,1325,1357.6,:
Finland,2542.7,2824.2,3140.9,3106.5,3378.4,3823.9,4007.2,4221.2,4188.6,4314.5,4345.1,:
France,30064.8,32877.3,35419.7,34637.7,36686.8,39910.8,41193.1,43413.7,44045.5,45804.2,47473.4,:
Germany,46326.7,50602,53620.1,51553.9,55421.2,61035.9,63238.3,65429.6,67210.4,71566.7,74155,:
Greece,5355.5,6065.7,6392.4,6032.7,5816.5,5944.9,5543.8,5657.3,5665.6,5648.5,6004.2,:
Hungary,2380.3,2813.4,3359.6,2971.5,3307,3937.8,3948,3837.1,4065.5,4277.2,4561.7,:
Iceland,315,356,338,283,309,341,352,357,403,505,501,541
Ireland,4876.1,5462.3,5510.5,5186.2,5400,5822.2,6445.2,6856.9,7023.8,7560.4,7599.6,:
Italy,26609.5,28270.5,29240,27927.9,30346.2,33505.9,32928.7,33680.8,34384.4,35411.5,35741.9,:
Latvia,931,1141.5,1357.1,1183.6,1325.9,1533.1,1822.4,2054.2,1958.9,1877.6,2051.8,:
Liechtenstein,:,:,47,48,43,45,51,54,57,56,57,59
Lithuania,1270.4,1582.4,2091.6,1724,2108,2532.5,2978.9,3365.8,3326.6,3181.5,2984.7,:
Luxembourg,1520.3,1603.4,1685.7,1667.8,1786.3,1851.2,1928.9,2008.4,2156.9,2185.2,2162.1,:
Macedonia,314,404,459,438,465,533,587,572,572,612,627,680
Malta,367.3,449.3,486.6,439.9,448.9,477.9,552.9,566.5,564.9,598.1,634,:
Montenegro,218,298,405,380,388,418,422,433,461,447,468,505
Netherlands,25965,28932.9,32632,31031.7,33880,37990.1,39795,41319.9,41754.5,45723.3,46958.2,:
Norway,3013,3521,3740,3623,4040,4646,5187,5362,5476,5616,:,:
Poland,5579.8,7091.5,8775.6,8065.8,9598.9,10738.9,11742.1,12466.6,13293.7,14219.9,14941.6,:
Portugal,5843.6,6578.2,6996.9,6691.8,7095.7,7611.2,7416.5,7663.2,7652.8,7971.4,8389.6,:
Romania,2196.1,2974.6,3764.2,3363.6,3288.4,3743,4106.2,4310.3,4520.7,5364.5,6063.7,:
Serbia,643,704,874,817,857,950,1049,1130,1243,1293,1377,1500
Slovakia,1751.5,2226.7,2533.2,2553.5,2850.3,3293,3386,3482.9,3407.2,3522,3773.4,:
Slovenia,1236.5,1538.1,1726.9,1771.7,1862.3,1995.9,2246.3,2199,2102.6,2288.9,2371.4,:
Spain,20339.2,22925.1,23631.1,21621.7,23101.8,25209.7,25373.6,24705.3,25542.2,27859.9,29032,:
Sweden,7278.5,7889.4,8562.9,8219.2,9504.1,10404.9,11229,12149.1,12298.2,13276.9,14247.9,:
Switzerland,5638,6099,6797,6773,7429,8235,8371,8709,8906,9698,9753,9984
Turkey,1615,2510,3723,2927,3695,5343,5427,5648,5855,6520,6533,8071
United Kingdom,36076.1,38231.2,38214.1,35961.2,39114.7,41627,45552,46210.3,48109.8,53600.8,51162.3,: