geo\time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
EU28,100,100,100,100,100,100,100,100,100,100,100,100
Euro area (changing composition),110.9,110.7,110.4,109.9,109.5,108.6,108.3,107.7,107.8,107.6,107.2,107.1
Euro area (19 countries),109,108.8,108.8,108.5,108.6,107.8,107.7,107.1,107.2,107.3,107.2,107.1
Belgium,132.8,131.5,130,128.2,129.6,131.3,129.7,130.7,130.2,130.6,130.3,129.5
Bulgaria,36.2,36.1,37.6,39.3,39.4,41.3,42.2,43.5,42.9,43.8,44.2,45.4
Czech Republic,73.7,74,76.7,77.7,79.2,77.1,77.4,76.2,76.6,79.1,79.7,80.2
Denmark,107.6,108,106.1,107.6,109.6,115.2,114.6,114.4,115.2,115.2,114.4,111.9
Germany,108.5,107.9,108,106.9,104.1,105.2,106.4,105.2,104.7,106.4,106.1,105.8
Estonia,59.1,61.2,66.5,66,66.6,70.6,72,73.3,73.3,73.8,70.9,71.8
Ireland,138.7,139.5,139.4,130.5,135,141,142.6,144.8,141.5,145.7,189.7,190.2
Greece,97.9,100.7,98,98.4,98.1,89.5,85.5,85.9,86.9,86.2,83.2,81
Spain,98.9,100.6,100.6,100.8,105.5,101.9,101.3,103.1,103.4,103.4,102.2,101.9
France,118.6,117.6,117.4,116.5,117.4,117.1,116.6,114.9,116.2,115.6,115,114.8
Croatia,65.2,67.4,69.4,70.5,68.5,67.2,70.2,72.4,73.4,70.7,70.1,70.9
Italy,115,114.1,114,114.9,114.9,112.8,112.2,110.1,108.7,107.2,106.3,107.5
Cyprus,90.5,91.4,93.9,94.9,95.2,91.5,89.9,88.7,86.8,85,84.4,83.7
Latvia,51.8,51.7,54.4,56.1,56.1,58.8,61.4,62.9,62.5,64.6,63.9,64.8
Lithuania,55,57.7,62,65,61.2,67.2,71.3,73,74.1,74.6,73.3,72.1
Luxembourg,166.9,174.8,175.5,169.5,162.8,162.5,166.3,162.1,163.4,170,168.3,163.2
Hungary,66.8,66.6,66.2,70.5,72.4,73,74.1,72.8,73.1,71.1,69.8,67.8
Malta,96.2,93,93.7,93.1,94,94.7,91.2,90.3,89.6,91,92.5,93.4
Netherlands,118,118.1,117.9,118.2,115.6,113.4,112.1,111.9,113.8,111.9,111.5,110.8
Austria,120.4,119.7,118.2,117.5,117.8,115.4,115.7,117.7,117,116.5,117.7,116.6
Poland,61,60.4,61.3,62,65.3,70.1,72.7,74.1,73.9,73.6,74,74.2
Portugal,76.7,77.7,77.7,77.4,79.5,79.8,76.4,76.7,79.6,78.9,78.2,77.9
Romania,36.2,40.2,44.7,51.3,51.4,50.6,51.6,55.6,56.3,56.6,58.7,61.6
Slovenia,83.4,83,82.9,83.7,80.1,79.5,80.7,80.1,80.5,81.4,80.7,80.7
Slovakia,69.2,72.1,75.9,79.3,79.1,83.5,81.5,82.4,83.7,83.9,82.7,81.7
Finland,112.7,111.8,115.5,115.9,113.4,112.6,112.5,109.5,108.3,107.5,107.7,108.8
Sweden,114.1,116.5,119.1,118.2,116.2,116.7,116.2,116.2,114,113.3,114.2,113.8
United Kingdom,109.9,109.2,107,105.7,103.7,103.6,101.8,102.2,101.9,101.8,101.3,101.1
Iceland,:,:,:,:,:,:,:,:,:,:,:,:
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,151.8,157,150.7,157.3,144.2,147.2,151.1,154.6,152.5,147,136,127.6
Switzerland,117.8,120.8,125.5,126.4,125.9,124.8,124.9,125,124.8,124.4,123.9,122.5
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:
"Former Yugoslav Republic of Macedonia, the",44,43.7,43.8,44.1,44.5,45.7,44.6,44,42.8,43.6,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:
Serbia,:,:,:,:,:,:,:,:,:,:,:,:
Turkey,:,:,:,:,:,:,:,:,:,:,:,: